,FYear,FMonth,FDay,FD06,Departure,CityDeparture,Arrival,CityArrival,WeekOfYear,Trimester,Distance,Start,Finish
26,2012,12,24,0.0,4,4,15,3,52.0,3.0,8,SE,NE
27,2013,02,08,4.0,3,5,9,8,6.0,1.0,2,SW,SW
28,2012,06,19,1.0,15,3,17,16,25.0,2.0,31,NE,SW
29,2013,01,24,3.0,13,10,8,12,4.0,1.0,19,SE,NE
30,2012,05,12,5.0,15,3,11,12,19.0,1.0,12,NE,NE
31,2013,01,05,5.0,13,10,11,12,1.0,1.0,20,SE,NE
32,2012,08,12,6.0,11,12,1,1,32.0,2.0,35,NE,NE
33,2012,02,29,2.0,19,17,18,18,9.0,1.0,63,SW,NW
34,2013,01,31,3.0,0,0,19,17,5.0,1.0,43,SE,SW
35,2012,03,09,4.0,14,11,15,3,10.0,1.0,54,NE,NE
36,2012,05,22,1.0,15,3,10,9,21.0,1.0,39,NE,SW
37,2012,09,02,6.0,6,13,12,14,35.0,3.0,14,NE,SE
38,2012,04,17,1.0,4,4,0,0,16.0,1.0,5,SE,SE
39,2012,09,27,3.0,10,9,9,8,39.0,3.0,38,SW,SW
40,2012,05,27,6.0,0,0,15,3,21.0,1.0,60,SE,NE
41,2012,01,08,6.0,3,5,9,8,1.0,1.0,2,SW,SW
42,2012,02,27,0.0,4,4,3,5,9.0,1.0,0,SE,SW
43,2012,02,16,3.0,10,9,18,18,7.0,1.0,11,SW,NW
44,2012,02,01,2.0,14,11,15,3,5.0,1.0,54,NE,NE
45,2012,07,26,3.0,10,9,4,4,30.0,2.0,27,SW,SE
46,2011,12,31,5.0,16,15,4,4,52.0,3.0,28,SE,SE
47,2012,12,12,2.0,8,12,9,8,50.0,3.0,46,NE,SW
48,2012,09,19,2.0,6,13,12,14,38.0,3.0,14,NE,SE
49,2012,12,18,1.0,3,5,0,0,51.0,3.0,26,SW,SE
50,2012,05,21,0.0,6,13,10,9,21.0,1.0,47,NE,SW
51,2012,01,09,0.0,15,3,4,4,2.0,1.0,8,NE,SE
52,2012,07,20,4.0,15,3,6,13,29.0,2.0,10,NE,NE
53,2011,09,11,6.0,11,12,15,3,36.0,3.0,12,NE,NE
54,2011,09,02,4.0,4,4,9,8,35.0,3.0,24,SE,SW
55,2012,04,01,6.0,4,4,19,17,13.0,1.0,32,SE,SW
56,2012,09,04,1.0,19,17,10,9,36.0,3.0,52,SW,SW
57,2012,06,02,5.0,6,13,1,1,22.0,2.0,36,NE,NE
58,2011,11,26,5.0,8,12,9,8,47.0,3.0,46,NE,SW
59,2012,02,13,0.0,14,11,3,5,7.0,1.0,4,NE,SW
60,2013,02,28,3.0,15,3,19,17,9.0,1.0,41,NE,SW
61,2011,11,16,2.0,15,3,5,6,46.0,3.0,44,NE,NE
62,2012,10,11,3.0,8,12,12,14,41.0,3.0,16,NE,SE
63,2013,02,15,4.0,14,11,15,3,7.0,1.0,54,NE,NE
64,2012,11,12,0.0,19,17,18,18,46.0,3.0,63,SW,NW
65,2011,09,26,0.0,5,6,11,12,39.0,3.0,61,NE,NE
66,2012,06,08,4.0,5,6,11,12,23.0,2.0,61,NE,NE
67,2011,12,15,3.0,19,17,6,13,50.0,3.0,50,SW,NE
68,2011,09,18,6.0,9,8,15,3,37.0,3.0,34,SW,NE
69,2011,12,01,3.0,15,3,3,5,48.0,3.0,21,NE,SW
70,2011,12,18,6.0,19,17,18,18,50.0,3.0,63,SW,NW
71,2012,02,26,6.0,14,11,3,5,8.0,1.0,4,NE,SW
72,2012,12,21,4.0,6,13,1,1,51.0,3.0,36,NE,NE
73,2012,03,15,3.0,10,9,0,0,11.0,1.0,40,SW,SE
74,2012,11,23,4.0,2,2,11,12,47.0,3.0,59,SE,NE
75,2012,12,01,5.0,0,0,15,3,48.0,3.0,60,SE,NE
76,2012,05,05,5.0,7,7,15,3,18.0,1.0,13,SE,NE
77,2013,03,02,5.0,10,9,9,8,9.0,1.0,38,SW,SW
78,2012,04,18,2.0,0,0,13,10,16.0,1.0,58,SE,SE
79,2012,04,28,5.0,0,0,19,17,17.0,1.0,43,SE,SW
80,2013,03,01,4.0,4,4,19,17,9.0,1.0,32,SE,SW
81,2012,02,15,2.0,0,0,5,6,7.0,1.0,57,SE,NE
82,2012,05,04,4.0,9,8,4,4,18.0,1.0,24,SW,SE
83,2012,10,25,3.0,6,13,10,9,43.0,3.0,47,NE,SW
84,2013,03,03,6.0,15,3,7,7,9.0,1.0,13,NE,SE
85,2012,09,21,4.0,10,9,3,5,38.0,3.0,17,SW,SW
86,2012,06,10,6.0,10,9,1,1,23.0,2.0,49,SW,NE
87,2012,05,27,6.0,0,0,16,15,21.0,1.0,1,SE,SE
88,2011,11,29,1.0,19,17,6,13,48.0,3.0,50,SW,NE
89,2012,07,05,3.0,12,14,0,0,27.0,2.0,55,SE,SE
90,2012,12,26,2.0,15,3,18,18,52.0,3.0,42,NE,NW
91,2012,05,02,2.0,1,1,19,17,18.0,1.0,53,NE,SW
92,2012,01,06,4.0,0,0,15,3,1.0,1.0,60,SE,NE
93,2012,12,26,2.0,17,16,15,3,52.0,3.0,31,SW,NE
94,2012,11,06,1.0,9,8,19,17,45.0,3.0,56,SW,SW
95,2012,03,05,0.0,7,7,10,9,10.0,1.0,29,SE,SW
96,2012,07,29,6.0,8,12,12,14,30.0,2.0,16,NE,SE
97,2012,06,27,2.0,6,13,15,3,26.0,2.0,10,NE,NE
98,2012,02,05,6.0,11,12,15,3,5.0,1.0,12,NE,NE
99,2012,10,17,2.0,15,3,5,6,42.0,3.0,44,NE,NE
100,2012,02,14,1.0,4,4,19,17,7.0,1.0,32,SE,SW
101,2012,05,07,0.0,4,4,0,0,19.0,1.0,5,SE,SE
102,2012,05,22,1.0,0,0,10,9,21.0,1.0,40,SE,SW
103,2012,11,25,6.0,19,17,15,3,47.0,3.0,41,SW,NE
104,2012,01,06,4.0,9,8,19,17,1.0,1.0,56,SW,SW
105,2012,09,26,2.0,10,9,0,0,39.0,3.0,40,SW,SE
106,2011,12,06,1.0,0,0,12,14,49.0,3.0,55,SE,SE
107,2013,02,04,0.0,0,0,19,17,6.0,1.0,43,SE,SW
108,2012,01,13,4.0,1,1,11,12,2.0,1.0,35,NE,NE
109,2012,05,17,3.0,11,12,5,6,20.0,1.0,61,NE,NE
110,2012,02,24,4.0,6,13,12,14,8.0,1.0,14,NE,SE
111,2012,05,19,5.0,11,12,13,10,20.0,1.0,20,NE,SE
112,2012,09,28,4.0,10,9,1,1,39.0,3.0,49,SW,NE
113,2012,11,13,1.0,3,5,19,17,46.0,3.0,23,SW,SW
114,2012,09,27,3.0,0,0,10,9,39.0,3.0,40,SE,SW
115,2011,10,04,1.0,9,8,19,17,40.0,3.0,56,SW,SW
116,2012,03,09,4.0,8,12,13,10,10.0,1.0,19,NE,SE
117,2012,11,06,1.0,15,3,18,18,45.0,3.0,42,NE,NW
118,2012,10,10,2.0,3,5,19,17,41.0,3.0,23,SW,SW
119,2013,02,11,0.0,3,5,0,0,7.0,1.0,26,SW,SE
120,2012,08,14,1.0,19,17,6,13,33.0,2.0,50,SW,NE
121,2012,02,19,6.0,9,8,15,3,7.0,1.0,34,SW,NE
122,2011,10,23,6.0,3,5,15,3,42.0,3.0,21,SW,NE
123,2012,09,13,3.0,3,5,14,11,37.0,3.0,4,SW,NE
124,2013,02,05,1.0,3,5,18,18,6.0,1.0,25,SW,NW
125,2012,07,01,6.0,19,17,10,9,26.0,2.0,52,SW,SW
126,2012,06,10,6.0,0,0,12,14,23.0,2.0,55,SE,SE
127,2012,10,22,0.0,13,10,8,12,43.0,3.0,19,SE,NE
128,2011,10,02,6.0,4,4,19,17,39.0,3.0,32,SE,SW
129,2012,03,25,6.0,5,6,15,3,12.0,1.0,44,NE,NE
130,2012,03,09,4.0,8,12,12,14,10.0,1.0,16,NE,SE
131,2012,04,20,4.0,10,9,18,18,16.0,1.0,11,SW,NW
132,2012,02,02,3.0,10,9,0,0,5.0,1.0,40,SW,SE
133,2012,10,17,2.0,3,5,18,18,42.0,3.0,25,SW,NW
134,2013,02,07,3.0,17,16,3,5,6.0,1.0,62,SW,SW
135,2012,05,13,6.0,19,17,0,0,19.0,1.0,43,SW,SE
136,2012,09,03,0.0,5,6,0,0,36.0,3.0,57,NE,SE
137,2013,02,25,0.0,15,3,7,7,9.0,1.0,13,NE,SE
138,2011,10,19,2.0,3,5,9,8,42.0,3.0,2,SW,SW
139,2011,09,17,5.0,1,1,19,17,37.0,3.0,53,NE,SW
140,2012,06,29,4.0,1,1,10,9,26.0,2.0,49,NE,SW
141,2011,10,07,4.0,0,0,16,15,40.0,3.0,1,SE,SE
142,2011,11,20,6.0,0,0,3,5,46.0,3.0,26,SE,SW
143,2012,02,02,3.0,11,12,5,6,5.0,1.0,61,NE,NE
144,2012,01,18,2.0,15,3,1,1,3.0,1.0,22,NE,NE
145,2012,08,26,6.0,6,13,10,9,34.0,2.0,47,NE,SW
146,2011,11,28,0.0,4,4,1,1,48.0,3.0,33,SE,NE
147,2012,04,07,5.0,18,18,19,17,14.0,1.0,63,NW,SW
148,2012,03,31,5.0,14,11,15,3,13.0,1.0,54,NE,NE
149,2012,10,21,6.0,1,1,10,9,42.0,3.0,49,NE,SW
150,2012,07,11,2.0,3,5,18,18,28.0,2.0,25,SW,NW
151,2012,07,25,2.0,4,4,9,8,30.0,2.0,24,SE,SW
152,2012,12,22,5.0,1,1,16,15,51.0,3.0,45,NE,SE
153,2012,08,02,3.0,3,5,18,18,31.0,2.0,25,SW,NW
154,2012,01,22,6.0,7,7,15,3,3.0,1.0,13,SE,NE
155,2012,10,04,3.0,9,8,15,3,40.0,3.0,34,SW,NE
156,2011,12,27,1.0,15,3,16,15,52.0,3.0,7,NE,SE
157,2011,11,04,4.0,19,17,4,4,44.0,3.0,32,SW,SE
158,2011,10,17,0.0,6,13,12,14,42.0,3.0,14,NE,SE
159,2012,01,29,6.0,0,0,10,9,4.0,1.0,40,SE,SW
160,2012,12,14,4.0,9,8,8,12,50.0,3.0,46,SW,NE
161,2013,03,04,0.0,4,4,16,15,10.0,1.0,28,SE,SE
162,2012,09,15,5.0,15,3,0,0,37.0,3.0,60,NE,SE
163,2012,01,28,5.0,10,9,6,13,4.0,1.0,47,SW,NE
164,2012,01,15,6.0,15,3,19,17,2.0,1.0,41,NE,SW
165,2012,05,20,6.0,6,13,10,9,20.0,1.0,47,NE,SW
166,2012,02,03,4.0,10,9,15,3,5.0,1.0,39,SW,NE
167,2012,02,18,5.0,8,12,9,8,7.0,1.0,46,NE,SW
168,2012,12,17,0.0,16,15,4,4,51.0,3.0,28,SE,SE
169,2013,01,04,4.0,1,1,10,9,1.0,1.0,49,NE,SW
170,2013,01,08,1.0,14,11,0,0,2.0,1.0,15,NE,SE
171,2011,12,09,4.0,6,13,12,14,49.0,3.0,14,NE,SE
172,2012,04,17,1.0,4,4,19,17,16.0,1.0,32,SE,SW
173,2012,11,15,3.0,13,10,8,12,46.0,3.0,19,SE,NE
174,2011,11,19,5.0,15,3,18,18,46.0,3.0,42,NE,NW
175,2012,04,20,4.0,7,7,15,3,16.0,1.0,13,SE,NE
176,2011,09,29,3.0,5,6,15,3,39.0,3.0,44,NE,NE
177,2013,02,12,1.0,11,12,5,6,7.0,1.0,61,NE,NE
178,2012,06,23,5.0,0,0,5,6,25.0,2.0,57,SE,NE
179,2012,01,24,1.0,4,4,16,15,4.0,1.0,28,SE,SE
180,2012,01,12,3.0,9,8,4,4,2.0,1.0,24,SW,SE
181,2012,08,17,4.0,10,9,19,17,33.0,2.0,52,SW,SW
182,2012,01,25,2.0,3,5,0,0,4.0,1.0,26,SW,SE
183,2012,02,19,6.0,16,15,12,14,7.0,1.0,9,SE,SE
184,2012,08,31,4.0,6,13,1,1,35.0,2.0,36,NE,NE
185,2012,03,28,2.0,1,1,0,0,13.0,1.0,18,NE,SE
186,2011,12,05,0.0,13,10,0,0,49.0,3.0,58,SE,SE
187,2012,11,13,1.0,4,4,9,8,46.0,3.0,24,SE,SW
188,2012,06,01,4.0,8,12,13,10,22.0,2.0,19,NE,SE
189,2011,09,29,3.0,0,0,12,14,39.0,3.0,55,SE,SE
190,2012,07,06,4.0,5,6,11,12,27.0,2.0,61,NE,NE
191,2012,04,11,2.0,8,12,12,14,15.0,1.0,16,NE,SE
192,2013,02,05,1.0,4,4,19,17,6.0,1.0,32,SE,SW
193,2012,04,08,6.0,5,6,15,3,14.0,1.0,44,NE,NE
194,2012,12,01,5.0,9,8,15,3,48.0,3.0,34,SW,NE
195,2013,03,04,0.0,10,9,4,4,10.0,1.0,27,SW,SE
196,2011,09,08,3.0,0,0,2,2,36.0,3.0,37,SE,SE
197,2012,04,17,1.0,11,12,0,0,16.0,1.0,6,NE,SE
198,2012,04,26,3.0,3,5,15,3,17.0,1.0,21,SW,NE
199,2012,04,17,1.0,15,3,10,9,16.0,1.0,39,NE,SW
200,2012,06,11,0.0,10,9,9,8,24.0,2.0,38,SW,SW
201,2012,02,11,5.0,3,5,19,17,6.0,1.0,23,SW,SW
202,2011,09,27,1.0,10,9,18,18,39.0,3.0,11,SW,NW
203,2011,10,29,5.0,14,11,3,5,43.0,3.0,4,NE,SW
204,2013,01,25,4.0,3,5,0,0,4.0,1.0,26,SW,SE
205,2013,01,29,1.0,15,3,16,15,5.0,1.0,7,NE,SE
206,2011,09,06,1.0,15,3,18,18,36.0,3.0,42,NE,NW
207,2012,08,30,3.0,16,15,4,4,35.0,2.0,28,SE,SE
208,2012,03,25,6.0,11,12,2,2,12.0,1.0,59,NE,SE
209,2012,10,05,4.0,15,3,19,17,40.0,3.0,41,NE,SW
210,2012,09,22,5.0,6,13,15,3,38.0,3.0,10,NE,NE
211,2012,06,24,6.0,19,17,1,1,25.0,2.0,53,SW,NE
212,2012,04,12,3.0,3,5,17,16,15.0,1.0,62,SW,SW
213,2012,02,05,6.0,6,13,0,0,5.0,1.0,3,NE,SE
214,2013,01,10,3.0,4,4,10,9,2.0,1.0,27,SE,SW
215,2012,04,12,3.0,4,4,15,3,15.0,1.0,8,SE,NE
216,2012,07,29,6.0,0,0,14,11,30.0,2.0,15,SE,NE
217,2012,10,09,1.0,6,13,10,9,41.0,3.0,47,NE,SW
218,2011,09,11,6.0,0,0,14,11,36.0,3.0,15,SE,NE
219,2012,08,05,6.0,4,4,9,8,31.0,2.0,24,SE,SW
220,2012,07,23,0.0,9,8,15,3,30.0,2.0,34,SW,NE
221,2012,09,22,5.0,19,17,9,8,38.0,3.0,56,SW,SW
222,2012,12,02,6.0,3,5,9,8,48.0,3.0,2,SW,SW
223,2013,02,28,3.0,12,14,0,0,9.0,1.0,55,SE,SE
224,2012,10,24,2.0,9,8,19,17,43.0,3.0,56,SW,SW
225,2012,01,03,1.0,3,5,14,11,1.0,1.0,4,SW,NE
226,2013,02,21,3.0,7,7,15,3,8.0,1.0,13,SE,NE
227,2012,06,11,0.0,10,9,7,7,24.0,2.0,29,SW,SE
228,2012,04,08,6.0,19,17,9,8,14.0,1.0,56,SW,SW
229,2011,10,03,0.0,19,17,15,3,40.0,3.0,41,SW,NE
230,2012,08,01,2.0,15,3,14,11,31.0,2.0,54,NE,NE
231,2012,06,04,0.0,1,1,10,9,23.0,2.0,49,NE,SW
232,2011,12,29,3.0,8,12,13,10,52.0,3.0,19,NE,SE
233,2012,07,17,1.0,4,4,11,12,29.0,2.0,30,SE,NE
234,2013,01,05,5.0,0,0,13,10,1.0,1.0,58,SE,SE
235,2013,02,02,5.0,15,3,3,5,5.0,1.0,21,NE,SW
236,2012,08,15,2.0,15,3,7,7,33.0,2.0,13,NE,SE
237,2012,03,20,1.0,0,0,3,5,12.0,1.0,26,SE,SW
238,2011,10,26,2.0,15,3,6,13,43.0,3.0,10,NE,NE
239,2013,01,15,1.0,8,12,12,14,3.0,1.0,16,NE,SE
240,2012,07,21,5.0,1,1,0,0,29.0,2.0,18,NE,SE
241,2011,11,28,0.0,5,6,0,0,48.0,3.0,57,NE,SE
242,2011,09,03,5.0,4,4,3,5,35.0,3.0,0,SE,SW
243,2012,12,26,2.0,6,13,10,9,52.0,3.0,47,NE,SW
244,2011,09,12,0.0,11,12,1,1,37.0,3.0,35,NE,NE
245,2013,03,05,1.0,10,9,8,12,10.0,1.0,48,SW,NE
246,2011,12,30,4.0,3,5,10,9,52.0,3.0,17,SW,SW
247,2011,10,13,3.0,15,3,16,15,41.0,3.0,7,NE,SE
248,2012,09,03,0.0,19,17,4,4,36.0,3.0,32,SW,SE
249,2011,10,12,2.0,10,9,18,18,41.0,3.0,11,SW,NW
250,2011,10,22,5.0,0,0,12,14,42.0,3.0,55,SE,SE
251,2012,04,21,5.0,19,17,4,4,16.0,1.0,32,SW,SE
252,2013,02,28,3.0,8,12,12,14,9.0,1.0,16,NE,SE
253,2012,03,06,1.0,8,12,19,17,10.0,1.0,51,NE,SW
254,2011,11,30,2.0,15,3,10,9,48.0,3.0,39,NE,SW
255,2012,07,15,6.0,0,0,16,15,28.0,2.0,1,SE,SE
256,2013,02,22,4.0,19,17,1,1,8.0,1.0,53,SW,NE
257,2012,12,10,0.0,3,5,4,4,50.0,3.0,0,SW,SE
258,2011,10,24,0.0,1,1,19,17,43.0,3.0,53,NE,SW
259,2011,09,29,3.0,13,10,0,0,39.0,3.0,58,SE,SE
260,2012,04,27,4.0,19,17,15,3,17.0,1.0,41,SW,NE
261,2011,10,12,2.0,19,17,0,0,41.0,3.0,43,SW,SE
262,2011,11,05,5.0,6,13,15,3,44.0,3.0,10,NE,NE
263,2012,11,25,6.0,4,4,9,8,47.0,3.0,24,SE,SW
264,2013,02,09,5.0,11,12,15,3,6.0,1.0,12,NE,NE
265,2012,08,28,1.0,16,15,15,3,35.0,2.0,7,SE,NE
266,2012,08,15,2.0,9,8,19,17,33.0,2.0,56,SW,SW
267,2011,09,25,6.0,8,12,10,9,38.0,3.0,48,NE,SW
268,2012,05,24,3.0,8,12,10,9,21.0,1.0,48,NE,SW
269,2012,07,17,1.0,9,8,4,4,29.0,2.0,24,SW,SE
270,2012,07,22,6.0,5,6,11,12,29.0,2.0,61,NE,NE
271,2012,07,13,4.0,0,0,13,10,28.0,2.0,58,SE,SE
272,2012,07,01,6.0,18,18,10,9,26.0,2.0,11,NW,SW
273,2011,12,25,6.0,12,14,16,15,51.0,3.0,9,SE,SE
274,2012,10,07,6.0,15,3,3,5,40.0,3.0,21,NE,SW
275,2012,06,06,2.0,12,14,6,13,23.0,2.0,14,SE,NE
276,2012,02,29,2.0,6,13,19,17,9.0,1.0,50,NE,SW
277,2013,01,10,3.0,11,12,5,6,2.0,1.0,61,NE,NE
278,2012,06,16,5.0,1,1,6,13,24.0,2.0,36,NE,NE
279,2012,11,08,3.0,15,3,14,11,45.0,3.0,54,NE,NE
280,2012,01,02,0.0,9,8,8,12,1.0,1.0,46,SW,NE
281,2013,01,17,3.0,5,6,11,12,3.0,1.0,61,NE,NE
282,2012,09,16,6.0,3,5,18,18,37.0,3.0,25,SW,NW
283,2012,09,09,6.0,3,5,9,8,36.0,3.0,2,SW,SW
284,2012,03,02,4.0,0,0,11,12,9.0,1.0,6,SE,NE
285,2011,09,12,0.0,19,17,6,13,37.0,3.0,50,SW,NE
286,2011,12,25,6.0,0,0,1,1,51.0,3.0,18,SE,NE
287,2011,09,29,3.0,19,17,10,9,39.0,3.0,52,SW,SW
288,2012,10,29,0.0,14,11,3,5,44.0,3.0,4,NE,SW
289,2011,11,10,3.0,19,17,9,8,45.0,3.0,56,SW,SW
290,2013,01,19,5.0,19,17,4,4,3.0,1.0,32,SW,SE
291,2012,08,17,4.0,4,4,15,3,33.0,2.0,8,SE,NE
292,2011,12,05,0.0,17,16,3,5,49.0,3.0,62,SW,SW
293,2012,09,08,5.0,6,13,19,17,36.0,3.0,50,NE,SW
294,2012,06,08,4.0,16,15,1,1,23.0,2.0,45,SE,NE
295,2013,02,23,5.0,18,18,10,9,8.0,1.0,11,NW,SW
296,2011,10,21,4.0,9,8,15,3,42.0,3.0,34,SW,NE
297,2013,02,24,6.0,4,4,16,15,8.0,1.0,28,SE,SE
298,2012,06,01,4.0,3,5,10,9,22.0,2.0,17,SW,SW
299,2012,04,17,1.0,11,12,15,3,16.0,1.0,12,NE,NE
300,2011,12,29,3.0,16,15,12,14,52.0,3.0,9,SE,SE
301,2012,08,22,2.0,8,12,9,8,34.0,2.0,46,NE,SW
302,2012,04,10,1.0,2,2,11,12,15.0,1.0,59,SE,NE
303,2012,02,04,5.0,3,5,18,18,5.0,1.0,25,SW,NW
304,2012,11,24,5.0,16,15,4,4,47.0,3.0,28,SE,SE
305,2012,05,17,3.0,3,5,18,18,20.0,1.0,25,SW,NW
306,2012,04,15,6.0,0,0,6,13,15.0,1.0,3,SE,NE
307,2012,09,03,0.0,15,3,6,13,36.0,3.0,10,NE,NE
308,2011,12,22,3.0,2,2,0,0,51.0,3.0,37,SE,SE
309,2013,02,22,4.0,1,1,15,3,8.0,1.0,22,NE,NE
310,2013,01,18,4.0,0,0,15,3,3.0,1.0,60,SE,NE
311,2012,03,15,3.0,14,11,15,3,11.0,1.0,54,NE,NE
312,2012,10,07,6.0,3,5,14,11,40.0,3.0,4,SW,NE
313,2012,08,24,4.0,6,13,12,14,34.0,2.0,14,NE,SE
314,2012,12,17,0.0,15,3,3,5,51.0,3.0,21,NE,SW
315,2011,10,03,0.0,10,9,1,1,40.0,3.0,49,SW,NE
316,2013,02,09,5.0,10,9,0,0,6.0,1.0,40,SW,SE
317,2011,12,19,0.0,8,12,13,10,51.0,3.0,19,NE,SE
318,2013,02,22,4.0,4,4,16,15,8.0,1.0,28,SE,SE
319,2012,03,18,6.0,10,9,4,4,11.0,1.0,27,SW,SE
320,2012,11,09,4.0,11,12,5,6,45.0,3.0,61,NE,NE
321,2012,01,02,0.0,15,3,1,1,1.0,1.0,22,NE,NE
322,2011,12,29,3.0,0,0,11,12,52.0,3.0,6,SE,NE
323,2011,09,29,3.0,18,18,15,3,39.0,3.0,42,NW,NE
324,2012,04,26,3.0,18,18,10,9,17.0,1.0,11,NW,SW
325,2012,04,25,2.0,15,3,0,0,17.0,1.0,60,NE,SE
326,2013,01,19,5.0,0,0,3,5,3.0,1.0,26,SE,SW
327,2012,10,04,3.0,19,17,4,4,40.0,3.0,32,SW,SE
328,2011,09,26,0.0,8,12,9,8,39.0,3.0,46,NE,SW
329,2012,09,03,0.0,3,5,10,9,36.0,3.0,17,SW,SW
330,2012,07,17,1.0,0,0,4,4,29.0,2.0,5,SE,SE
331,2013,02,09,5.0,19,17,8,12,6.0,1.0,51,SW,NE
332,2012,03,30,4.0,4,4,15,3,13.0,1.0,8,SE,NE
333,2013,01,20,6.0,6,13,10,9,3.0,1.0,47,NE,SW
334,2012,12,30,6.0,10,9,7,7,52.0,3.0,29,SW,SE
335,2011,11,24,3.0,15,3,9,8,47.0,3.0,34,NE,SW
336,2012,10,26,4.0,19,17,4,4,43.0,3.0,32,SW,SE
337,2012,05,07,0.0,4,4,11,12,19.0,1.0,30,SE,NE
338,2012,03,01,3.0,0,0,2,2,9.0,1.0,37,SE,SE
339,2012,11,06,1.0,15,3,16,15,45.0,3.0,7,NE,SE
340,2012,07,22,6.0,0,0,13,10,29.0,2.0,58,SE,SE
341,2012,07,31,1.0,5,6,11,12,31.0,2.0,61,NE,NE
342,2012,08,18,5.0,16,15,1,1,33.0,2.0,45,SE,NE
343,2011,10,22,5.0,3,5,0,0,42.0,3.0,26,SW,SE
344,2012,09,13,3.0,4,4,16,15,37.0,3.0,28,SE,SE
345,2012,03,13,1.0,0,0,3,5,11.0,1.0,26,SE,SW
346,2012,11,08,3.0,6,13,1,1,45.0,3.0,36,NE,NE
347,2012,11,03,5.0,4,4,1,1,44.0,3.0,33,SE,NE
348,2012,05,15,1.0,19,17,10,9,20.0,1.0,52,SW,SW
349,2012,12,24,0.0,8,12,13,10,52.0,3.0,19,NE,SE
350,2011,11,14,0.0,15,3,18,18,46.0,3.0,42,NE,NW
351,2012,04,07,5.0,17,16,15,3,14.0,1.0,31,SW,NE
352,2012,01,22,6.0,0,0,12,14,3.0,1.0,55,SE,SE
353,2011,12,28,2.0,10,9,3,5,52.0,3.0,17,SW,SW
354,2012,01,12,3.0,4,4,15,3,2.0,1.0,8,SE,NE
355,2012,12,18,1.0,3,5,4,4,51.0,3.0,0,SW,SE
356,2012,06,07,3.0,15,3,7,7,23.0,2.0,13,NE,SE
357,2012,03,13,1.0,11,12,5,6,11.0,1.0,61,NE,NE
358,2011,12,25,6.0,0,0,5,6,51.0,3.0,57,SE,NE
359,2013,01,31,3.0,3,5,18,18,5.0,1.0,25,SW,NW
360,2012,01,05,3.0,15,3,14,11,1.0,1.0,54,NE,NE
361,2012,12,17,0.0,9,8,4,4,51.0,3.0,24,SW,SE
362,2012,07,03,1.0,1,1,6,13,27.0,2.0,36,NE,NE
363,2011,11,10,3.0,16,15,1,1,45.0,3.0,45,SE,NE
364,2012,01,07,5.0,14,11,15,3,1.0,1.0,54,NE,NE
365,2012,03,24,5.0,3,5,14,11,12.0,1.0,4,SW,NE
366,2013,01,12,5.0,15,3,11,12,2.0,1.0,12,NE,NE
367,2012,11,06,1.0,16,15,4,4,45.0,3.0,28,SE,SE
368,2011,10,04,1.0,19,17,0,0,40.0,3.0,43,SW,SE
369,2012,02,02,3.0,6,13,10,9,5.0,1.0,47,NE,SW
370,2012,11,05,0.0,1,1,19,17,45.0,3.0,53,NE,SW
371,2012,10,31,2.0,0,0,3,5,44.0,3.0,26,SE,SW
372,2011,11,19,5.0,16,15,15,3,46.0,3.0,7,SE,NE
373,2012,03,02,4.0,8,12,12,14,9.0,1.0,16,NE,SE
